lat,lon,corr_r,abs_r,corr_p,samples_n
69.75,-52.25,-0.8739784306154266,0.8739784306154266,2.2619522769724947e-79,249
69.75,-52.75,-0.8737124316923761,0.8737124316923761,2.884639856034696e-79,249
70.25,-53.75,-0.8722596762736203,0.8722596762736203,1.0781533783807497e-78,249
70.25,-54.25,-0.8689433606873518,0.8689433606873518,2.0602015884715493e-77,249
65.75,-52.25,-0.8588637453964242,0.8588637453964242,1.0070442347277621e-73,249
65.25,-51.75,-0.8575342201673057,0.8575342201673057,2.939184919746581e-73,249
69.75,-53.25,-0.8570792502245785,0.8570792502245785,4.229898408495094e-73,249
65.25,-51.25,-0.8565825748269624,0.8565825748269624,6.284948482967264e-73,249
65.75,-51.75,-0.8563287756441046,0.8563287756441046,7.690039736892952e-73,249
64.25,-40.75,-0.855818815995942,0.855818815995942,1.1520974559353657e-72,249
67.75,-53.25,-0.8553838406639546,0.8553838406639546,1.6244335874221418e-72,249
66.25,-50.25,-0.853332142920654,0.853332142920654,8.090558357345007e-72,249
68.25,-52.25,-0.8528791357310801,0.8528791357310801,1.149479132947266e-71,249
65.25,-50.75,-0.8528327880313012,0.8528327880313012,1.1914531120708053e-71,249
66.25,-49.75,-0.8488974143295548,0.8488974143295548,2.3957144106711525e-70,249
67.25,-52.25,-0.8473259928393001,0.8473259928393001,7.754194682678582e-70,249
65.25,-50.25,-0.8453570093478416,0.8453570093478416,3.3161334291348046e-69,249
66.25,-52.75,-0.8442734704659256,0.8442734704659256,7.314380532774649e-69,249
65.75,-50.75,-0.8436186632974331,0.8436186632974331,1.1763056856784006e-68,249
64.75,-49.75,-0.8433222735504567,0.8433222735504567,1.4574936483079562e-68,249
66.25,-52.25,-0.8425276461477191,0.8425276461477191,2.583579593932014e-68,249
67.25,-51.75,-0.8408425835339112,0.8408425835339112,8.607832878939665e-68,249
67.25,-52.75,-0.838500583061392,0.838500583061392,4.4802720492886927e-67,249
64.75,-51.75,-0.8359351377603259,0.8359351377603259,2.6487163282371553e-66,249
